nohup: ignoring input
watch: 2026-08-08T00:36:06Z env=stage region=us-west-2 profile=demo-admin interval=20s
watch: account 993912191738
00:36:07 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07  | run=31158254599 completed/cancelled
00:43:24 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=aws-devops-sdet-demo-stage-db creating  | ecs=arn:aws:ecs:us-west-2:993912191738:cluster/aws-devops-sdet-demo-stage-cluster  | sg=default aws-devops-sdet-demo-stage-alb-sg aws-devops-sdet-demo-stage-rds-sg aws-devops-sdet-demo-stage-app-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:43:51 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=aws-devops-sdet-demo-stage-db creating  | ecs=arn:aws:ecs:us-west-2:993912191738:cluster/aws-devops-sdet-demo-stage-cluster  | sg=default aws-devops-sdet-demo-stage-alb-sg aws-devops-sdet-demo-stage-rds-sg aws-devops-sdet-demo-stage-app-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:44:18 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=aws-devops-sdet-demo-stage-db creating  | ecs=arn:aws:ecs:us-west-2:993912191738:cluster/aws-devops-sdet-demo-stage-cluster  | sg=default aws-devops-sdet-demo-stage-alb-sg aws-devops-sdet-demo-stage-rds-sg aws-devops-sdet-demo-stage-app-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:44:49 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=aws-devops-sdet-demo-stage-db creating  | ecs=arn:aws:ecs:us-west-2:993912191738:cluster/aws-devops-sdet-demo-stage-cluster  | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-alb-sg aws-devops-sdet-demo-stage-app-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:45:16 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=aws-devops-sdet-demo-stage-db creating  | ecs=arn:aws:ecs:us-west-2:993912191738:cluster/aws-devops-sdet-demo-stage-cluster  | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:45:43 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=aws-devops-sdet-demo-stage-db creating  | ecs=arn:aws:ecs:us-west-2:993912191738:cluster/aws-devops-sdet-demo-stage-cluster  | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:46:16 | acct=993912191738 | alb=none | rds=aws-devops-sdet-demo-stage-db deleting  | ecs=none | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:46:43 | acct=993912191738 | alb=none | rds=aws-devops-sdet-demo-stage-db deleting  | ecs=none | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:47:10 | acct=993912191738 | alb=none | rds=aws-devops-sdet-demo-stage-db deleting  | ecs=none | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:47:37 | acct=993912191738 | alb=none | rds=aws-devops-sdet-demo-stage-db deleting  | ecs=none | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:48:08 | acct=993912191738 | alb=none | rds=aws-devops-sdet-demo-stage-db deleting  | ecs=none | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:48:36 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=aws-devops-sdet-demo-stage-rds-sg default aws-devops-sdet-demo-stage-app-sg aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:49:03 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:49:35 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:50:02 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:50:31 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:50:58 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:51:32 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:51:59 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:52:28 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:52:56 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:53:28 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:53:55 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:54:23 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:54:54 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:55:21 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:55:48 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:56:16 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:56:46 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:57:14 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
00:57:41 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07 count#2026-08-08  | run=31230641268 completed/cancelled
